disease,fatality_rate,avg_los,beds_per_patient,days_to_die
Yellow fever,0.0598055915056959,60.0,18.0,67.1766709806835
Endocarditis,0.0704235979542483,43.0,12.9,49.05642942406535
Atrial fibrillation and flutter,0.075121386423757,30.0,9.0,34.50728318542542
Pulmonary Arterial Hypertension,0.5020138775400806,30.0,9.0,60.120832652404836
Other drug use disorders,0.0020856674700692,30.0,9.0,30.125140048204152
Appendicitis,0.0013067531559911,30.0,9.0,30.07840518935946
Decubitus ulcer,0.0208978574381714,28.0,8.4,29.1702800165376
Cellulitis,0.0020805406669136,23.0,6.9,23.095704870678027
Ischemic heart disease,0.6994547389104717,8.0,5.6,19.191275822567547
Ischemic stroke,0.387042820133016,8.0,5.6,14.192685122128257
Rheumatic heart disease,0.0884711130720615,8.0,5.6,9.415537809152983
Congenital heart anomalies,0.1333320974748379,8.0,5.6,10.133313559597406
Chronic obstructive pulmonary disease,0.2056121610143675,16.5,4.95,23.28520131347413
Intracerebral hemorrhage,0.8141881996204612,16.0,4.8,42.05402238785476
COVID-19,0.000123138512587,5.0,3.5,5.0012313851258705
Multiple sclerosis,0.3055348972330293,11.0,3.3,17.721767739126644
Thyroid diseases,0.0004572626960155,11.0,3.3,11.010059779312343
Larynx cancer,0.5526740978209506,10.0,3.0,21.053481956419013
Gallbladder and biliary tract cancer,0.80192063442689,10.0,3.0,26.038412688537804
Thyroid cancer,0.1717168575019858,10.0,3.0,13.434337150039717
Ovarian cancer,0.6524883570920902,10.0,3.0,23.0497671418418
Testicular cancer,0.1188403583338283,10.0,3.0,12.376807166676567
Pancreatic cancer,0.9551456464603786,10.0,3.0,29.10291292920757
Liver cancer due to NASH,0.9135666592276316,10.0,3.0,28.27133318455263
Liver cancer due to other causes,0.8533432903821649,10.0,3.0,27.0668658076433
Liver cancer due to alcohol use,0.8797584628590049,10.0,3.0,27.5951692571801
Other eye cancers,0.4376627795670125,10.0,3.0,18.75325559134025
"Tracheal, bronchus, and lung cancer",0.8780915878313804,10.0,3.0,27.56183175662761
Brain and central nervous system cancer,0.6900236269643687,10.0,3.0,23.800472539287373
Kidney cancer,0.4121876094766418,10.0,3.0,18.243752189532835
Bladder cancer,0.4079392799270033,10.0,3.0,18.158785598540067
Colon and rectum cancer,0.4787230849197029,10.0,3.0,19.574461698394057
Other pharynx cancer,0.5905341904861239,10.0,3.0,21.810683809722477
Uterine cancer,0.2076753704763499,10.0,3.0,14.153507409526998
Total cancers,0.4021318378722252,10.0,3.0,18.042636757444505
Stomach cancer,0.7312287944909834,10.0,3.0,24.624575889819667
Liver cancer due to hepatitis B,0.8593214788296016,10.0,3.0,27.186429576592033
Liver cancer due to hepatitis C,0.9080266944190276,10.0,3.0,28.160533888380552
Esophageal cancer,0.9342138241014512,10.0,3.0,28.684276482029027
Nasopharynx cancer,0.4451829164546572,10.0,3.0,18.903658329093144
Cervical cancer,0.4166737077955387,10.0,3.0,18.333474155910775
Breast cancer,0.3332217956870945,10.0,3.0,16.66443591374189
Lip and oral cavity cancer,0.5246789438609092,10.0,3.0,20.493578877218184
Prostate cancer,0.3337290183921881,10.0,3.0,16.674580367843763
Interstitial lung disease and pulmonary sarcoidosis,0.4978721649652012,7.0,2.1,13.970210309512815
Extensively drug-resistant tuberculosis,0.2795706937522178,7.0,2.1,10.913989712531048
Gallbladder and biliary diseases,0.0019427605520736,6.5,1.95,6.525255887176957
Other transport injuries,0.0282500044183021,6.333333333333333,1.9,6.691166722631825
Malaria,0.0025835669262118,6.0,1.7999999999999998,6.031002803114541
Sickle cell disorders,0.1003171784279277,6.0,1.7999999999999998,7.203806141135133
Dengue,0.0014054205353383,6.0,1.7999999999999998,6.01686504642406
HIV/AIDS - Extensively drug-resistant Tuberculosis,0.7157219140221429,6.0,1.7999999999999998,14.588662968265716
HIV/AIDS - Drug-susceptible Tuberculosis,0.2530541301253656,6.0,1.7999999999999998,9.036649561504387
HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,0.6963132179679742,6.0,1.7999999999999998,14.355758615615692
Other hemoglobinopathies and hemolytic anemias,inf,6.0,1.7999999999999998,inf
HIV/AIDS resulting in other diseases,0.3030852459802408,6.0,1.7999999999999998,9.637022951762889
Thalassemias,0.1190162334532109,5.0,1.5,6.190162334532109
Lower extremity peripheral arterial disease,0.0059089741443575,5.0,1.5,5.059089741443575
Multiple myeloma,0.7036204397664483,5.0,1.5,12.036204397664482
Other gynecological diseases,1.6390482151039838e-05,5.0,1.5,5.000163904821511
Diphtheria,0.1155335615257283,5.0,1.5,6.1553356152572825
Pertussis,0.0060796077639618,5.0,1.5,5.060796077639617
Measles,0.0075803212743645,5.0,1.5,5.0758032127436445
Tetanus,0.3694650633327328,5.0,1.5,8.694650633327328
Other malignant neoplasms,0.4903598282431148,5.0,1.5,9.903598282431147
Otitis media,1.655390698648458e-06,5.0,1.5,5.0000165539069865
Meningitis,0.1019891197431008,5.0,1.5,6.019891197431008
Encephalitis,0.0448294909850364,5.0,1.5,5.448294909850365
Unintentional firearm injuries,0.0088093186202024,5.0,1.5,5.088093186202024
Malignant neoplasm of bone and articular cartilage,0.6873863425513003,5.0,1.5,11.873863425513003
Soft tissue and other extraosseous sarcomas,0.436389921601,5.0,1.5,9.36389921601
Hepatoblastoma,0.567806139626685,5.0,1.5,10.678061396266848
Burkitt lymphoma,0.4064486234748727,5.0,1.5,9.064486234748728
Other non-Hodgkin lymphoma,0.4425909203732544,5.0,1.5,9.425909203732544
Foreign body in other body part,0.0001555472993005,5.0,1.5,5.0015554729930045
Pulmonary aspiration and foreign body in airway,0.0897500813751473,5.0,1.5,5.897500813751472
Non-venomous animal contact,0.0002592402757416,5.0,1.5,5.002592402757417
Venomous animal contact,0.0058258959441966,5.0,1.5,5.058258959441966
Urolithiasis,0.0002256282281363,5.0,1.5,5.002256282281364
Chronic kidney disease due to diabetes mellitus type 2,0.0841499922461835,5.0,1.5,5.841499922461835
Neuroblastoma and other peripheral nervous cell tumors,0.2794267102978557,5.0,1.5,7.794267102978557
Chronic kidney disease due to diabetes mellitus type 1,1.5596009473752326,5.0,1.5,20.596009473752325
Maternal abortion and miscarriage,0.0003080417824367,5.0,1.5,5.003080417824367
Other unintentional injuries,0.0005550120322141,5.0,1.5,5.005550120322141
Varicella and herpes zoster,0.0001730866382742,5.0,1.5,5.001730866382742
Chagas disease,0.0239399916876071,5.0,1.5,5.239399916876071
Mesothelioma,0.9513526878334227,5.0,1.5,14.513526878334226
Hodgkin lymphoma,0.3887462253334707,5.0,1.5,8.887462253334707
Subarachnoid hemorrhage,0.3932351750785224,5.0,1.5,8.932351750785223
Acute hepatitis E,8.723437262671576e-05,5.0,1.5,5.000872343726267
Syphilis,0.0040589907657347,5.0,1.5,5.040589907657347
